,age,gender,race
0,16,1,3
1,40,1,0
2,71,1,0
3,80,1,0
4,21,0,4
5,6,1,2
6,54,1,0
7,1,0,0
8,55,0,0
9,7,1,0
10,23,1,0
11,26,1,0
12,24,1,4
13,17,0,0
14,2,0,2
15,1,0,2
16,19,0,0
17,57,0,0
18,2,0,2
19,16,1,1
20,21,0,3
21,57,1,0
22,1,0,2
23,1,1,3
24,5,1,2
25,24,1,3
26,29,1,3
27,52,1,0
28,4,1,4
29,49,1,0
30,44,1,0
31,7,0,4
32,72,1,0
33,37,1,0
34,1,0,4
35,3,0,4
36,4,1,2
37,23,1,3
38,24,1,3
39,39,1,0
40,7,0,0
41,18,1,0
42,26,1,4
43,5,1,2
44,1,0,3
45,71,0,0
46,85,1,2
47,4,1,2
48,5,1,0
49,12,0,0
50,85,1,1
51,1,1,0
52,53,0,0
53,8,1,0
54,4,1,2
55,48,1,0
56,22,1,3
57,37,1,0
58,13,1,0
59,32,0,0
60,4,0,1
61,13,0,0
62,1,0,3
63,45,1,0
64,39,1,4
65,1,0,2
66,75,0,2
67,13,1,0
68,9,1,0
69,3,1,2
70,31,0,2
71,16,0,0
72,21,1,3
73,7,1,0
74,60,0,2
75,18,1,2
76,8,1,0
77,86,1,0
78,75,1,0
79,4,1,4
80,8,1,0
81,17,0,0
82,2,0,2
83,2,1,4
84,16,1,0
85,28,1,0
86,3,1,0
87,9,1,4
88,4,1,4
89,70,1,0
90,8,1,4
91,89,1,2
92,72,1,0
93,2,1,0
94,2,0,2
95,12,1,2
96,23,1,1
97,25,0,0
98,60,1,0
99,75,0,3
100,1,1,2
101,34,1,3
102,43,0,0
103,27,0,3
104,1,0,2
105,45,0,0
106,26,1,0
107,70,1,0
108,21,1,4
109,32,1,4
110,1,0,0
111,28,0,0
112,8,1,2
113,59,1,0
114,16,1,0
115,1,1,2
116,25,1,2
117,1,0,2
118,61,0,0
119,49,0,0
120,23,1,3
121,53,1,0
122,39,0,0
123,54,0,0
124,5,0,0
125,58,0,0
126,2,1,4
127,4,0,0
128,1,1,3
129,1,1,2
130,60,1,0
131,3,0,0
132,61,0,2
133,17,0,0
134,2,1,0
135,24,1,0
136,26,0,4
137,1,0,0
138,58,1,3
139,24,1,3
140,9,0,0
141,13,0,0
142,17,1,4
143,14,0,0
144,1,0,4
145,60,1,0
146,90,0,0
147,47,0,0
148,31,0,0
149,16,1,0
150,5,0,0
151,4,0,0
152,1,1,3
153,15,1,2
154,1,0,3
155,31,1,1
156,5,0,2
157,1,1,2
158,4,1,2
159,76,0,0
160,71,0,0
161,55,1,3
162,28,1,4
163,15,0,0
164,36,1,3
165,43,0,0
166,11,1,0
167,61,1,0
168,9,0,1
169,40,0,4
170,24,1,0
171,28,1,3
172,54,0,3
173,39,0,0
174,4,1,2
175,82,0,0
176,57,0,0
177,1,1,0
178,60,1,3
179,40,0,0
180,3,0,2
181,15,0,0
182,7,0,0
183,2,1,2
184,14,0,4
185,45,1,0
186,28,0,2
187,1,0,0
188,49,1,0
189,40,0,0
190,1,0,0
191,14,1,3
192,52,1,0
193,6,1,2
194,18,1,0
195,9,0,0
196,19,1,0
197,1,0,0
198,5,1,2
